Ign,Team,ACS,Matches,Rnd,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
Lime,Angry Titans,276,19,394,1.4,0.75,178.7,0.98,0.18,0.21,0.13,0.3,0.17,41,385,275,70,81,50
DeepMans,Wave Esports,267,20,424,1.43,0.73,173.6,0.97,0.15,0.17,0.09,0.32,0.22,34,413,288,63,74,37
JUGi,FOKUS,264,14,296,1.41,0.74,163.8,0.91,0.2,0.23,0.15,0.21,0.18,34,270,192,60,67,44
Maru,Dsyre,236,14,311,1.23,0.72,156.6,0.84,0.14,0.08,0.07,0.33,0.23,30,260,212,44,25,21
Luzuh,MOUZ,235,19,417,1.26,0.73,145.4,0.85,0.13,0.19,0.16,0.21,0.11,38,353,280,53,80,67
bipo,Dsyre,224,14,311,1.11,0.67,139.8,0.8,0.12,0.2,0.19,0.28,0.18,26,248,224,36,62,60
YaBoiLewis,FOKUS,224,22,463,1.03,0.7,146.7,0.77,0.22,0.16,0.15,0.37,0.13,24,357,347,103,73,68
murii,Wave Esports,223,20,424,1.15,0.74,141.1,0.8,0.26,0.13,0.12,0.31,0.21,26,338,295,112,57,51
al0rante,MOUZ,220,19,417,0.96,0.66,138.2,0.77,0.23,0.14,0.14,0.43,0.29,24,320,332,96,58,58
blitzeN,CGN Esports,221,14,275,1.15,0.68,145.3,0.79,0.24,0.08,0.11,0.35,0.14,32,218,190,66,21,31
MAGiK,Dsyre,217,14,311,1.11,0.71,144,0.79,0.27,0.06,0.08,0.33,0.13,31,246,221,85,18,25
DisisJohn,Ovation eSports,220,14,290,1.05,0.63,135.1,0.77,0.14,0.13,0.12,0.17,0.21,30,224,214,40,38,36
vong,FOKUS,215,22,463,1.1,0.73,141.9,0.76,0.28,0.1,0.07,0.33,0.3,23,354,323,131,46,32
Shazeon,CGN Esports,217,8,157,1,0.72,143.9,0.69,0.35,0.08,0.04,0.25,0.17,29,108,108,55,12,6
BennY,CGN Esports,205,14,275,0.86,0.66,134.1,0.68,0.28,0.12,0.19,0.25,0.06,20,186,216,77,32,52
Leosen,Ovation eSports,204,14,290,0.87,0.66,134.8,0.68,0.24,0.12,0.13,0.27,0.09,34,196,226,70,35,39
roxie,Wave Esports,202,20,424,1.04,0.71,133.7,0.71,0.26,0.08,0.1,0.37,0.23,23,301,290,109,32,42
denzo,SPARX ESPORTS,203,14,286,0.85,0.57,129,0.69,0.12,0.15,0.22,0.27,0.19,26,197,233,35,43,64
bucher,FOKUS,201,22,463,1.19,0.71,130.5,0.75,0.16,0.07,0.04,0.35,0.19,27,346,290,74,31,20
Epzz,Angry Titans,198,19,394,0.98,0.72,134.7,0.66,0.32,0.06,0.04,0.2,0.15,30,262,266,128,22,17
10K,Dsyre,194,14,311,0.9,0.69,130.8,0.65,0.37,0.08,0.09,0.28,0.1,22,203,225,114,25,27
memset,MOUZ,194,19,417,1.07,0.72,128.8,0.7,0.19,0.08,0.08,0.33,0.14,25,293,274,80,35,35
Feeqn,Wave Esports,192,20,424,1.01,0.72,127.3,0.64,0.31,0.08,0.07,0.22,0.14,25,271,268,130,36,28
AFoxx,Angry Titans,194,19,394,1.06,0.7,131.4,0.73,0.1,0.11,0.08,0.39,0.08,28,286,271,41,44,33
SoOn,CGN Esports,194,14,275,0.95,0.66,126.3,0.67,0.14,0.13,0.15,0.23,0.14,25,183,193,38,36,40
Amilwa,MOUZ,193,19,417,1.07,0.75,127.6,0.67,0.3,0.04,0.06,0.32,0.13,28,281,262,126,18,27
smz,SPARX ESPORTS,192,14,286,0.85,0.62,128.4,0.65,0.15,0.08,0.1,0.28,0.22,20,187,221,44,23,29
Happen,Ovation eSports,190,14,290,0.9,0.65,127.6,0.64,0.28,0.07,0.06,0.21,0.11,27,187,207,80,20,18
Matrix,Ovation eSports,186,14,290,0.83,0.67,121.9,0.61,0.32,0.05,0.09,0.22,0.13,23,176,211,93,14,25
HearThBeaT,Angry Titans,185,19,394,0.9,0.72,122.3,0.64,0.35,0.08,0.11,0.26,0.24,22,251,280,138,32,42
Kryptix,MOUZ,180,19,417,1.03,0.73,120.4,0.64,0.28,0.03,0.06,0.24,0.15,28,268,260,115,14,25
litshii,Angry Titans,178,19,394,0.81,0.67,118.3,0.6,0.35,0.07,0.12,0.21,0.28,23,237,293,137,26,47
HaxZorus,SPARX ESPORTS,177,14,286,0.75,0.62,118.4,0.56,0.28,0.06,0.07,0.26,0.05,17,160,212,79,17,19
