Ign,Team,ACS,Matches,Rnd,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
kamo,NOM eSports,270,23,501,1.21,0.71,176,0.94,0.19,0.18,0.17,0.28,0.17,32,469,389,94,92,84
marteen,Entropiq,264,17,386,1.26,0.75,166.1,0.93,0.16,0.2,0.11,0.24,0.2,37,359,284,62,77,43
szimpli,Gamerland Outlaws (ex),261,15,340,1.22,0.74,169.2,0.92,0.2,0.19,0.11,0.28,0.11,29,312,256,69,63,39
xuss,Anonymo Esports,230,28,595,1.09,0.7,148.9,0.82,0.2,0.13,0.14,0.26,0.12,27,490,449,120,79,83
Haxtrax,Gamerland Outlaws,230,8,177,1.33,0.75,157.9,0.82,0.28,0.07,0.07,0.3,0.2,34,145,109,49,13,13
Katu,AWARIA,229,28,588,1.17,0.73,151.2,0.82,0.24,0.12,0.1,0.3,0.08,28,485,416,144,70,58
ALIVE,Team Finest,229,19,411,1.16,0.69,147.3,0.82,0.15,0.21,0.14,0.24,0.16,32,338,291,60,88,57
Theow,Anorthosis Famagusta Esports,229,21,432,0.99,0.69,148.1,0.76,0.21,0.19,0.17,0.21,0.16,27,328,332,92,81,72
aeiden,KTRL (ex),221,11,226,1.04,0.69,145.8,0.78,0.23,0.09,0.05,0.41,0.15,22,176,170,51,21,12
Saiko,AWARIA,221,28,588,0.97,0.7,142.5,0.74,0.21,0.16,0.15,0.22,0.11,25,438,450,121,96,89
ponkt,Team Finest,221,19,411,1.14,0.71,151,0.79,0.15,0.11,0.08,0.31,0.13,33,326,285,62,47,33
dimasick,Team Finest,219,8,159,1.1,0.71,153.2,0.74,0.23,0.08,0.07,0.32,0.1,19,118,107,37,13,11
maniek,Anonymo Esports,218,28,595,0.98,0.75,144.1,0.74,0.32,0.1,0.14,0.25,0.15,23,442,452,188,62,81
grubinho,AWARIA,215,28,588,1.2,0.74,140.5,0.77,0.28,0.1,0.08,0.3,0.24,33,450,375,162,59,45
kamyk,Anonymo Esports,214,28,595,1.16,0.73,141.6,0.77,0.3,0.06,0.06,0.3,0.18,25,459,397,179,35,38
BENZKI,Anorthosis Famagusta Esports,214,17,349,1,0.71,138.9,0.75,0.33,0.11,0.12,0.24,0.09,26,262,263,116,39,42
mizuN,Team Finest,212,19,411,1.09,0.74,137.8,0.74,0.3,0.11,0.1,0.36,0.16,26,305,280,123,45,41
nataNk,Anorthosis Famagusta Esports,211,17,349,1.05,0.69,139.1,0.73,0.28,0.11,0.11,0.21,0.14,29,254,241,96,37,40
bzt,Gamerland Outlaws,211,15,340,0.98,0.72,142.6,0.7,0.41,0.1,0.1,0.23,0.15,30,238,242,141,34,33
Freyy,NOM eSports,210,23,501,1.13,0.71,136.4,0.76,0.3,0.07,0.1,0.29,0.16,31,383,340,151,36,48
SH0UTy,Entropiq,201,17,386,1.02,0.73,132.1,0.71,0.32,0.08,0.08,0.24,0.17,26,275,269,125,31,31
Barcode,Gamerland Outlaws (ex),195,15,340,1.02,0.7,126,0.69,0.19,0.11,0.12,0.23,0.2,27,236,232,66,37,42
snikk,Anonymo Esports,200,28,595,0.97,0.69,128.7,0.7,0.25,0.09,0.11,0.24,0.23,28,414,427,148,56,67
Stix,AWARIA,199,28,588,1.05,0.72,133.9,0.7,0.28,0.08,0.07,0.28,0.13,25,414,396,165,47,41
ara,KTRL,193,4,75,0.74,0.56,133.1,0.61,0.24,0.12,0.25,0.22,,18,46,62,18,9,19
crazyd33R,Gamerland Outlaws,192,15,340,0.91,0.71,125.5,0.65,0.26,0.09,0.06,0.23,0.11,30,222,245,87,29,19
hasaa,Entropiq,193,17,386,1.01,0.69,126.7,0.7,0.22,0.07,0.08,0.26,0.13,31,271,268,86,28,31
matti,NOM eSports,190,23,501,1,0.72,127.4,0.65,0.28,0.07,0.08,0.23,0.25,24,327,328,142,33,41
mikigoalie,KTRL (si),191,7,142,0.88,0.63,125,0.66,0.17,0.08,0.14,0.24,0.15,17,94,107,24,12,20
Hitch,NOM eSports,190,23,501,0.9,0.72,129.3,0.62,0.33,0.07,0.07,0.16,0.19,23,312,347,165,35,37
RECIDENT,Team Finest,187,19,411,0.96,0.71,126.9,0.66,0.27,0.05,0.06,0.37,0.13,25,272,284,110,22,25
eXampL,Anorthosis Famagusta Esports,187,21,432,0.91,0.7,125.9,0.64,0.32,0.06,0.04,0.27,0.17,22,275,301,139,25,16
UNCAGED,KTRL,184,4,75,0.79,0.64,117.8,0.64,0.17,0.05,0.09,0.37,,14,48,61,13,4,7
fanboy,Anorthosis Famagusta Esports,186,4,83,0.93,0.6,112.7,0.69,0.08,0.08,0.12,0.18,0.14,20,57,61,7,7,10
Pjotr,Entropiq,185,17,386,0.9,0.73,119.5,0.64,0.35,0.12,0.11,0.24,0.12,24,246,272,134,45,42
ALMO,NOM eSports,183,23,501,0.88,0.67,123.9,0.64,0.31,0.08,0.11,0.26,0.09,24,320,365,154,41,54
adm1k,Anonymo Esports,184,28,595,0.93,0.71,124.1,0.63,0.29,0.08,0.08,0.24,0.2,29,372,401,173,46,48
Knox,KTRL (ex),182,11,226,0.65,0.54,120.7,0.58,0.18,0.17,0.22,0.27,0.09,21,132,204,40,38,49
mkLx,Anorthosis Famagusta Esports,181,4,83,0.84,0.71,126.5,0.64,0.33,0.06,0.1,0.33,,19,53,63,27,5,8
ROUSIK,Entropiq,176,17,386,0.82,0.74,120.5,0.56,0.37,0.06,0.09,0.24,0.15,20,215,261,143,24,35
meloware,KTRL (ex),175,11,226,0.83,0.67,119.1,0.61,0.21,0.04,0.04,0.25,0.08,15,138,167,48,9,10
YouBreak,AWARIA,175,28,588,0.88,0.72,116.8,0.6,0.28,0.07,0.07,0.22,0.21,23,355,405,166,39,44
KhA,Anorthosis Famagusta Esports,171,21,432,0.94,0.69,113.9,0.63,0.19,0.03,0.09,0.25,0.1,19,271,288,81,11,39
HYPNO,KTRL,169,4,75,0.65,0.6,103.5,0.56,0.17,0.09,0.13,0.26,0.11,13,42,65,13,7,10
dothem,KTRL (ex),169,11,226,0.79,0.57,108.6,0.61,0.16,0.09,0.1,0.36,0.22,21,137,174,37,20,22
synsi,Team Finest (ex),169,11,252,0.84,0.7,118.1,0.55,0.36,0.06,0.05,0.22,0.13,22,138,164,90,16,12
NowaXxZang,KTRL (ex),153,4,84,0.62,0.64,102.6,0.51,0.25,0.06,0.1,0.33,,17,43,69,21,5,8
styl1sh,KTRL,152,4,75,0.61,0.71,104.6,0.47,0.33,0.03,0.04,0.29,,12,35,57,25,2,3
alddy,KTRL,150,4,75,0.76,0.68,97.3,0.56,0.08,0.03,0.16,0.32,0.2,17,42,55,6,2,12
victorsoN,Gamerland Outlaws (ex),121,7,163,0.52,0.59,79,0.39,0.23,0.03,0.08,0.27,,18,64,124,38,5,13
