Ign,Team,ACS,Matches,Rnd,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
vakk,Team Vitality,264,14,297,1.35,0.73,167.8,0.92,0.18,0.18,0.14,0.25,0.14,29,272,202,53,54,41
juseu,Team BDS,230,23,515,1.23,0.71,145,0.85,0.13,0.18,0.17,0.28,0.34,32,439,358,67,95,86
Goaster,Sector One France,227,23,521,1.13,0.71,150.3,0.8,0.18,0.19,0.18,0.24,0.1,35,417,368,93,98,92
mikee,WYLDE,228,14,292,1.13,0.7,158.8,0.81,0.22,0.05,0.07,0.29,0.21,32,236,209,63,16,20
Killu,Valar Morghulis,224,14,314,1.2,0.68,146.3,0.81,0.13,0.13,0.12,0.29,0.15,27,254,212,42,42,37
BaWaN,beGenius ESC,223,18,383,1.09,0.72,142.1,0.78,0.2,0.1,0.08,0.23,0.19,38,297,273,78,40,31
LaAw,OG,222,18,394,1.15,0.76,143.7,0.78,0.32,0.08,0.04,0.28,0.21,29,309,268,128,30,17
LeeeeeeN,OG,220,18,394,1,0.71,138.1,0.77,0.15,0.21,0.17,0.25,0.2,30,302,301,58,83,68
Ridder,beGenius ESC,220,18,383,0.96,0.72,139.3,0.77,0.15,0.2,0.17,0.24,0.09,31,296,309,58,78,67
Mickebwoy,Team BDS,217,23,515,1.18,0.77,142.6,0.75,0.34,0.05,0.04,0.24,0.17,28,387,328,174,28,22
uNKOE,OG,215,18,394,1.14,0.75,140.5,0.76,0.25,0.12,0.09,0.22,0.19,31,300,264,99,49,36
SHIN,Sector One France,214,23,521,1.15,0.78,139.3,0.77,0.33,0.08,0.07,0.41,0.25,27,400,349,173,44,38
hoppY,Mandatory,214,14,312,1.01,0.66,138.6,0.77,0.22,0.09,0.11,0.28,0.16,24,239,236,69,28,35
Fizzy,Team BDS,213,23,515,1.07,0.75,135.5,0.75,0.37,0.1,0.09,0.21,0.19,25,384,359,191,50,45
bramz,Team Vitality,212,14,297,1.1,0.75,136,0.76,0.2,0.1,0.06,0.28,0.13,29,227,206,60,29,17
APO,Mandatory,208,14,312,1.04,0.69,137,0.74,0.22,0.1,0.08,0.32,0.08,25,230,222,70,31,25
ceNder,Team Vitality,205,14,297,1.08,0.73,136.3,0.7,0.33,0.1,0.11,0.32,0.27,24,207,191,97,31,33
DarkLight,beGenius ESC,207,18,383,1.1,0.74,137.5,0.74,0.32,0.06,0.07,0.26,0.13,28,285,258,121,24,25
kAdavra,Team Vitality,200,14,297,1.09,0.74,133.1,0.73,0.26,0.09,0.06,0.3,0.19,24,217,199,76,27,19
logaN,Team BDS,198,23,515,1.04,0.75,132.9,0.7,0.21,0.1,0.08,0.3,0.16,28,362,347,108,50,39
MARCTYLINHO,Sector One France,197,23,521,1.11,0.74,127.9,0.7,0.34,0.04,0.04,0.2,0.13,26,363,328,175,22,21
iDex,Sector One France,197,23,521,0.91,0.69,130.2,0.69,0.14,0.13,0.13,0.31,0.16,27,357,392,73,67,69
fxy0,OG,197,18,394,0.91,0.73,123.6,0.65,0.5,0.07,0.09,0.24,0.07,23,257,283,197,29,35
Yuta,WYLDE,192,14,292,0.81,0.59,123.9,0.65,0.1,0.18,0.2,0.35,0.24,24,191,237,29,52,59
Dawn,WYLDE,190,14,292,0.94,0.7,126.7,0.68,0.27,0.05,0.04,0.33,0.13,24,198,211,78,14,13
jbzz,Mandatory,191,14,312,0.74,0.65,127.8,0.6,0.21,0.1,0.16,0.13,0.07,23,187,253,65,31,50
OniBy,OG,186,18,394,1.04,0.77,124.7,0.65,0.32,0.07,0.05,0.3,0.17,22,255,246,126,28,19
HyP,Mandatory,191,14,312,0.87,0.71,119.7,0.64,0.43,0.12,0.11,0.17,0.22,29,200,231,133,37,35
Newzera,WYLDE,190,14,292,0.97,0.71,119.7,0.66,0.21,0.05,0.06,0.36,0.09,23,194,200,61,14,18
Vbbooy,Valar Morghulis,188,14,314,0.81,0.66,122.1,0.61,0.3,0.09,0.1,0.18,0.1,21,193,238,95,27,32
thebigfiz,beGenius ESC,187,18,383,0.94,0.72,120.6,0.66,0.25,0.1,0.07,0.28,0.14,23,253,268,95,37,28
NRK,Valar Morghulis,188,14,314,0.86,0.69,124.8,0.64,0.23,0.12,0.14,0.26,0.03,27,200,233,72,37,44
Davidp,beGenius ESC (si),186,12,278,1.02,0.77,125.6,0.63,0.4,0.05,0.08,0.18,0.17,24,175,171,111,15,22
KONEQT,Sector One France,181,23,521,0.91,0.71,115.6,0.63,0.26,0.07,0.07,0.27,0.11,29,329,360,133,36,34
GillianH,Valar Morghulis,181,14,314,0.81,0.69,123.6,0.61,0.27,0.06,0.07,0.27,0.1,20,190,234,86,20,23
Fatiiiih,WYLDE,175,14,292,0.72,0.65,119.5,0.57,0.31,0.1,0.2,0.31,0.18,19,165,229,91,29,57
ShadoW,Team Vitality,180,14,297,0.98,0.71,122.2,0.61,0.3,0.06,0.09,0.22,0.11,23,182,186,89,18,28
LowaN,Valar Morghulis,171,14,314,0.79,0.63,115,0.58,0.23,0.07,0.1,0.27,0.24,23,182,231,72,22,30
rodeN,Team BDS,168,23,515,0.79,0.72,110.9,0.56,0.35,0.07,0.13,0.2,0.1,22,289,365,178,34,66
CREA,Mandatory,161,14,312,0.81,0.66,110.6,0.57,0.21,0.04,0.09,0.29,0.2,28,179,222,66,11,29
Kiiyo,beGenius ESC (ex),158,6,105,0.69,0.65,107.4,0.52,0.26,0.07,0.09,0.27,0.14,14,55,80,27,7,9
