Ign,Team,ACS,Matches,Rnd,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
keloqz,Team Heretics,276,5,118,1.36,0.7,176.1,0.99,0.1,0.2,0.14,0.28,0.4,25,117,86,12,24,17
H1BER,KOI,262,14,320,1.2,0.72,168.4,0.89,0.23,0.23,0.2,0.23,0.29,33,286,239,73,73,64
russ,Giants Gaming,246,12,265,1.12,0.72,160.1,0.84,0.25,0.17,0.14,0.35,0.16,28,223,199,65,46,37
MiniBoo,Arctic Gaming,238,12,275,1.12,0.68,149.1,0.83,0.12,0.23,0.19,0.28,0.3,28,229,205,33,63,53
Fit1nho,Giants Gaming,237,12,265,1.23,0.71,152.6,0.83,0.17,0.16,0.12,0.25,0.08,28,221,180,45,42,33
Filu,UCAM Tokiers,236,14,308,1.05,0.68,147.9,0.82,0.16,0.19,0.18,0.28,0.19,24,253,242,49,59,55
vo0kashu,Rebels Gaming,231,22,454,1.29,0.78,155,0.78,0.27,0.07,0.08,0.24,0.13,33,355,276,123,34,35
Sacake,KOI,230,14,320,1.05,0.74,156.2,0.74,0.44,0.08,0.09,0.22,0.15,21,236,224,142,27,28
jannyXD,Rebels Gaming,230,22,454,1.2,0.76,144.6,0.83,0.15,0.18,0.15,0.26,0.22,28,378,315,70,80,66
Ambi,Case Esports,227,22,471,1.14,0.74,148.2,0.79,0.19,0.19,0.15,0.25,0.16,24,372,325,91,90,72
UNFAKE,Team Queso,225,12,238,1.05,0.76,150.7,0.76,0.32,0.09,0.05,0.28,0.05,25,180,171,76,22,12
musashi,Rebels Gaming,224,22,454,1.06,0.73,143.8,0.77,0.33,0.14,0.15,0.29,0.05,28,350,330,151,62,67
Wolfen,Case Esports,218,22,471,1.05,0.77,147,0.73,0.33,0.1,0.09,0.34,0.23,23,346,330,154,45,41
KPZET,Movistar Riders,215,12,247,1.09,0.71,140.8,0.76,0.22,0.13,0.11,0.4,0.17,21,188,172,54,32,27
PoPiFresH,Team Heretics,215,11,246,1.01,0.68,136.4,0.73,0.13,0.14,0.13,0.24,,21,179,177,33,34,32
falltw,Case Esports,211,22,471,1.14,0.73,138.1,0.76,0.27,0.09,0.06,0.28,0.14,27,356,312,127,43,28
tsack,Team Queso,210,12,238,1.14,0.76,134.3,0.75,0.28,0.08,0.07,0.32,0.18,21,179,157,67,18,17
Leare,Team Queso,208,12,238,0.98,0.61,131.8,0.74,0.11,0.18,0.21,0.28,0.12,20,175,178,27,43,49
mcnuggets,Movistar Riders,206,12,247,0.96,0.71,134.1,0.7,0.3,0.12,0.11,0.21,0.15,24,173,180,73,30,28
Yurii,Case Esports,206,22,471,1.07,0.74,133.9,0.74,0.25,0.1,0.08,0.22,0.12,22,349,326,119,45,39
